,Propeller,Motor,thrust_max_volt,thrust_max_power,thrust_max_amps,efficiency_max_volt,efficiency_max_power,efficiency_max_amps,current_max_volt,current_max_power,current_max_amps,Hover_time_3x_total,WeightForce,radius,pitch,Kv,Kt,Voltage,Weight
13663,apc_propellers_13x8,t_motor_AntigravityMN6007KV320,85.91999999999999,133.2,145.14000000000001,81.37,83.82,83.75,93.48,209.04000000000002,246.3,3100.9848600000005,65.0827103,165.1,203.2,297.49308559844116,0.029841551829730376,22.200000000000003,0.0013741984739999997
13698,apc_propellers_13x8,t_motor_P60KV340,87.66,159.35999999999999,183.35999999999999,75.22000000000001,79.43,79.24,105.96,317.28000000000003,410.52000000000004,2757.7097160000003,65.0941772,165.1,203.2,298.2492707697758,0.02808616642798153,22.200000000000003,0.002544198474
13745,apc_propellers_13x8E,kde_direct_KDE700XF_295_G3,264.9,396.5400000000001,359.28000000000003,96.15999999999998,94.76,95.01,520.8,978.9599999999999,877.9199999999998,3514.6604100000004,65.1119308,165.1,203.2,299.2647194284252,0.0324,37.0,0.004355881181999999
13793,apc_propellers_13x8E,t_motor_AT4130KV300,93.6,248.45999999999998,232.8,86.54,91.02,91.29,98.34,531.42,473.7,3150.45558,65.0948792,165.1,203.2,300.3017733776842,0.03183098861837907,22.200000000000003,0.0026158811819999997
13804,apc_propellers_13x8E,t_motor_AntigravityMN5008KV340,90.54,127.14,142.73999999999998,80.08,80.61,80.34000000000002,98.82,178.97999999999996,221.04000000000002,3081.75951,65.0790024,165.1,203.2,300.53943157438937,0.02808616642798153,22.200000000000003,0.000995881182
13807,apc_propellers_13x8E,t_motor_AntigravityMN6007IIKV320,91.8,148.38,166.92,84.90999999999998,85.97000000000001,85.62,96.06000000000002,226.14,279.18,3210.3383699999995,65.0805283,165.1,203.2,300.60424744621804,0.029841551829730376,22.200000000000003,0.0011518811820000001
13809,apc_propellers_13x8E,t_motor_AntigravityMN6007KV320,91.32000000000001,140.64000000000001,154.32,82.48,84.72000000000001,84.67,97.86,208.8,246.3,3099.17028,65.0816498,165.1,203.2,300.64745802743715,0.029841551829730376,22.200000000000003,0.001265881182
13844,apc_propellers_13x8E,t_motor_P60KV340,93.23999999999998,172.32,200.4,76.36,80.3,80.14999999999999,110.64,315.47999999999996,410.52000000000004,2852.323608,65.0931168,165.1,203.2,301.4036431987718,0.02808616642798153,22.200000000000003,0.002435881182
13891,apc_propellers_13x9,kde_direct_KDE700XF_295_G3,301.97999999999996,681.0,705.48,95.97000000000001,97.32,97.22000000000001,721.26,833.0400000000001,877.9199999999998,2227.095336,65.1136932,165.1,228.6,302.4190918574212,0.0324,37.0,0.004535774976
13939,apc_propellers_13x9,t_motor_AT4130KV300,107.88000000000001,213.9,181.8,91.0,89.98,90.84000000000002,192.83999999999997,610.86,473.7,2239.2998669999997,65.0966415,165.1,228.6,303.4561458066802,0.03183098861837907,22.200000000000003,0.0027957749760000004
13950,apc_propellers_13x9,t_motor_AntigravityMN5008KV340,100.97999999999999,107.22000000000001,110.58000000000001,80.22000000000001,80.0,79.86,188.82,209.04000000000002,221.04000000000002,2258.486754,65.0807648,165.1,228.6,303.69380400338537,0.02808616642798153,22.200000000000003,0.001175774976
13953,apc_propellers_13x9,t_motor_AntigravityMN6007IIKV320,103.56000000000002,127.43999999999998,131.7,85.92,85.27,85.11,186.54,263.76,279.18,2433.632628,65.0822906,165.1,228.6,303.75861987521404,0.029841551829730376,22.200000000000003,0.0013317749760000002
13955,apc_propellers_13x9,t_motor_AntigravityMN6007KV320,102.77999999999999,120.72000000000001,121.5,84.42,84.22000000000001,84.2,186.72,243.6,246.3,2183.584899,65.0834122,165.1,228.6,303.8018304564332,0.029841551829730376,22.200000000000003,0.0014457749759999997
13990,apc_propellers_13x9,t_motor_P60KV340,106.5,146.28,156.23999999999998,79.79,79.89,79.69,213.66000000000003,367.44,410.52000000000004,1947.904908,65.0948792,165.1,228.6,304.5580156277678,0.02808616642798153,22.200000000000003,0.002615774976
14037,apc_propellers_14x10,kde_direct_KDE700XF_295_G3,379.67999999999995,688.62,274.02000000000004,95.97000000000001,97.3,94.71,867.9,931.8599999999999,877.9199999999998,1733.706483,65.1144562,177.8,254.0,305.5734642864172,0.0324,37.0,0.004613883173999999
14085,apc_propellers_14x10,t_motor_AT4130KV300,135.96,214.37999999999997,171.35999999999999,91.32,88.40999999999998,90.29,324.24,693.3599999999999,473.7,1746.401367,65.0974045,177.8,254.0,306.6105182356762,0.03183098861837907,22.200000000000003,0.0028738831740000004
14099,apc_propellers_14x10,t_motor_AntigravityMN6007IIKV320,127.2,125.64,121.2,84.24,84.33,84.61,304.32,298.02000000000004,279.18,1903.605834,65.0830612,177.8,254.0,306.91299230421004,0.029841551829730376,22.200000000000003,0.001409883174
14101,apc_propellers_14x10,t_motor_AntigravityMN6007KV320,125.88000000000001,122.22000000000001,115.26000000000002,83.10000000000001,83.44,83.77,301.56,275.04,246.3,2117.297058,65.0841751,177.8,254.0,306.9562028854292,0.029841551829730376,22.200000000000003,0.0015238831739999997
14136,apc_propellers_14x10,t_motor_P60KV340,132.6,146.82,145.68,79.58,79.15999999999998,79.2,352.5,416.0400000000001,410.52000000000004,1755.091737,65.0956421,177.8,254.0,307.71238805676387,0.02808616642798153,22.200000000000003,0.002693883174
14183,apc_propellers_14x10E,kde_direct_KDE700XF_295_G3,341.94,365.4,311.58,95.58,94.98,96.46,1058.5800000000002,1183.68,877.9199999999998,2676.836976,65.1121063,177.8,254.0,308.7278367154132,0.0324,37.0,0.004374115499999999
14231,apc_propellers_14x10E,t_motor_AT4130KV300,124.5,231.42,199.44000000000003,92.79,91.46,92.58,182.82,624.6,473.7,2414.42157,65.0950546,177.8,254.0,309.7648906646722,0.03183098861837907,22.200000000000003,0.0026341155
14242,apc_propellers_14x10E,t_motor_AntigravityMN5008KV340,117.11999999999999,126.54,130.5,82.13,81.8,81.61,176.46,206.7,221.04000000000002,2686.159791,65.0791779,177.8,254.0,310.00254886137736,0.02808616642798153,22.200000000000003,0.0010141155
14245,apc_propellers_14x10E,t_motor_AntigravityMN6007IIKV320,119.82,143.94,148.2,87.86,87.07,86.88,175.2,263.16,279.18,2536.663146,65.0807114,177.8,254.0,310.0673647332061,0.029841551829730376,22.200000000000003,0.0011701155000000004
14247,apc_propellers_14x10E,t_motor_AntigravityMN6007KV320,119.04,140.34,141.42,86.27,86.02,85.99,175.26000000000002,242.45999999999998,246.3,2726.9073479999997,65.0818253,177.8,254.0,310.1105753144252,0.029841551829730376,22.200000000000003,0.0012841155
14282,apc_propellers_14x10E,t_motor_P60KV340,123.0,166.02000000000004,175.5,81.39,81.49,81.27,202.14,369.06,410.52000000000004,2431.341063,65.0932922,177.8,254.0,310.86676048575987,0.02808616642798153,22.200000000000003,0.0024541155000000004
14329,apc_propellers_14x11,kde_direct_KDE700XF_295_G3,390.9599999999999,677.7,234.12000000000003,97.14,98.97000000000001,95.82,979.0199999999999,961.2,877.9199999999998,2071.702332,65.1143875,177.8,279.4,311.8822091444093,0.0324,37.0,0.004607079323999999
